id,lang,audio_ms,chars,stt_ms,wait_ms,feature_ms,infer_ms,rtf,tts_ms,tts_synth_ms,tts_audio_ms
1,hi,9200,63,1774.6,2.4,135.0,1637.2,0.1926,0.0,0.0,0
2,hi,2000,6,475.3,2.2,37.6,435.5,0.2365,0.0,0.0,0
3,hi,2600,7,554.8,2.6,22.3,529.9,0.2124,0.0,0.0,0
4,hi,2900,30,622.7,2.0,35.1,585.6,0.2140,0.0,0.0,0
5,hi,2700,16,532.2,1.3,39.6,491.2,0.1966,0.0,0.0,0
6,hi,2500,7,529.1,7.2,13.7,508.1,0.2087,0.0,0.0,0
7,hi,2800,6,823.4,1.2,20.9,801.3,0.2937,0.0,0.0,0
8,hi,1400,2,375.5,2.7,21.4,351.4,0.2663,0.0,0.0,0
9,hi,3900,15,744.0,2.3,38.9,702.8,0.1902,0.0,0.0,0
10,hi,13200,180,2152.5,2.3,58.4,2091.7,0.1629,0.0,0.0,0
11,hi,3300,29,655.5,2.7,46.9,605.9,0.1978,0.0,0.0,0
12,hi,1900,0,445.5,2.6,22.3,420.5,0.2331,0.0,0.0,0
13,hi,1000,2,301.5,3.7,8.6,289.1,0.2977,0.0,0.0,0
14,hi,2700,18,557.5,3.8,18.5,535.1,0.2050,0.0,0.0,0
15,hi,2000,9,559.3,2.1,10.5,546.7,0.2786,0.0,0.0,0
16,hi,5000,17,931.9,3.9,59.7,868.4,0.1856,0.0,0.0,0
17,hi,1700,6,520.5,2.3,35.0,483.2,0.3048,0.0,0.0,0
18,hi,1900,11,384.7,2.8,13.0,368.8,0.2010,0.0,0.0,0
19,hi,1500,12,398.5,2.5,33.0,363.0,0.2640,0.0,0.0,0
20,hi,2700,30,575.9,3.5,43.1,529.4,0.2120,0.0,0.0,0
