id,lang,audio_ms,chars,stt_ms,wait_ms,feature_ms,infer_ms,rtf,tts_ms,tts_synth_ms,tts_audio_ms
1,hi,2100,14,709.7,1.6,117.5,590.5,0.3372,0.0,0.0,0
2,hi,2900,21,699.2,1.2,21.3,676.8,0.2407,0.0,0.0,0
3,hi,2000,20,528.2,5.0,11.7,511.4,0.2616,0.0,0.0,0
4,hi,1900,2,513.1,2.6,36.5,474.0,0.2687,0.0,0.0,0
5,hi,2900,28,682.6,4.5,19.3,658.8,0.2338,0.0,0.0,0
6,hi,2400,19,626.7,1.9,26.5,598.4,0.2604,0.0,0.0,0
7,hi,6800,75,1334.2,1.6,32.8,1299.8,0.1960,0.0,0.0,0
8,hi,1300,4,554.1,2.6,22.0,529.5,0.4242,0.0,0.0,0
9,hi,2800,29,723.6,2.2,13.5,707.9,0.2577,0.0,0.0,0
10,hi,2700,33,741.9,4.3,38.6,699.1,0.2732,0.0,0.0,0
11,hi,4500,60,1065.1,1.3,22.1,1041.8,0.2364,0.0,0.0,0
12,hi,9400,122,1829.7,2.4,73.5,1753.7,0.1944,0.0,0.0,0
13,hi,2500,21,635.3,2.1,14.0,619.2,0.2533,0.0,0.0,0
14,hi,1600,13,528.7,1.9,13.3,513.5,0.3293,0.0,0.0,0
15,hi,1300,3,448.6,2.3,17.3,429.0,0.3433,0.0,0.0,0
16,hi,1300,9,440.1,2.9,23.3,413.9,0.3363,0.0,0.0,0
17,hi,2500,23,644.0,4.0,36.1,604.0,0.2560,0.0,0.0,0
18,hi,1100,10,464.0,3.9,35.6,424.5,0.4182,0.0,0.0,0
19,hi,1000,8,433.2,2.7,28.0,402.5,0.4305,0.0,0.0,0
20,hi,7700,52,1384.2,2.2,50.3,1331.7,0.1795,0.0,0.0,0
21,hi,7300,41,1370.5,2.1,35.2,1333.2,0.1875,0.0,0.0,0
22,hi,2200,7,588.7,1.5,11.0,576.2,0.2669,0.0,0.0,0
23,hi,1000,0,388.8,1.7,8.6,378.5,0.3871,0.0,0.0,0
24,hi,1500,9,507.4,4.4,21.2,481.8,0.3353,0.0,0.0,0
25,hi,1100,4,426.2,3.1,33.6,389.4,0.3846,0.0,0.0,0
26,hi,1300,7,427.5,2.0,30.1,395.4,0.3273,0.0,0.0,0
27,hi,1500,9,498.7,1.8,7.2,489.8,0.3313,0.0,0.0,0
28,hi,5100,38,981.1,4.8,52.4,923.9,0.1914,0.0,0.0,0
29,hi,3200,45,835.9,3.3,49.8,782.8,0.2602,0.0,0.0,0
30,hi,1700,0,458.0,1.9,28.6,427.5,0.2683,0.0,0.0,0
31,hi,1200,0,462.6,3.4,35.8,423.4,0.3827,0.0,0.0,0
32,hi,1100,9,419.6,2.2,19.0,398.5,0.3795,0.0,0.0,0
33,hi,3900,54,930.5,2.3,28.7,899.5,0.2380,0.0,0.0,0
34,hi,2100,5,571.7,1.6,13.6,556.5,0.2715,0.0,0.0,0
35,hi,2900,37,706.1,3.9,13.8,688.4,0.2421,0.0,0.0,0
36,hi,1500,16,470.9,2.4,6.8,461.7,0.3124,0.0,0.0,0
37,hi,2700,5,648.9,2.5,49.1,597.3,0.2394,0.0,0.0,0
38,hi,5700,55,1173.8,4.8,27.2,1141.9,0.2051,0.0,0.0,0
39,hi,2000,8,587.2,2.4,12.6,572.3,0.2924,0.0,0.0,0
40,hi,2000,0,528.2,2.6,37.7,487.9,0.2628,0.0,0.0,0
41,hi,1500,9,513.6,2.9,38.1,472.7,0.3405,0.0,0.0,0
42,hi,1000,0,379.3,1.6,12.3,365.4,0.3777,0.0,0.0,0
43,hi,2500,0,567.1,1.5,20.8,544.7,0.2262,0.0,0.0,0
44,hi,5300,46,1136.9,1.1,33.7,1102.1,0.2143,0.0,0.0,0
45,hi,1600,2,516.7,3.1,41.3,472.4,0.3210,0.0,0.0,0
46,hi,11100,101,2132.9,6.2,61.5,2065.1,0.1916,0.0,0.0,0
47,hi,4300,27,933.8,2.1,48.1,883.6,0.2167,0.0,0.0,0
48,hi,3200,30,822.9,3.3,47.4,772.2,0.2561,0.0,0.0,0
49,hi,11100,67,1955.1,3.6,62.9,1888.6,0.1758,0.0,0.0,0
50,hi,4000,14,886.8,1.8,25.8,859.1,0.2212,0.0,0.0,0
