model,lang,n_clips,wer,cer,rtf,load_ms,size_mb,notes
indicconformer,hi_in,100,0.1146,0.0463,0.1721,1572.4339150000333,188.44,
sravaani,hi_in,100,0.0938,0.0362,0.2792,,903.00,script_mismatches=0/100
indicconformer,gu_in,100,0.1957,0.0553,0.1677,741.2850869998238,188.44,
sravaani,gu_in,100,0.1952,0.0600,0.3078,,903.00,script_mismatches=0/100
indicconformer,mr_in,100,0.1980,0.0533,0.1786,682.2288509999908,188.44,
sravaani,mr_in,100,0.1916,0.0586,0.2690,,903.00,script_mismatches=0/100
indicconformer,kn_in,100,0.1740,0.0449,0.1766,771.8104410000706,188.44,
sravaani,kn_in,100,0.1796,0.0419,0.2861,,903.00,script_mismatches=0/100
indicconformer,ml_in,100,0.2336,0.0582,0.1772,720.042537999916,188.44,
sravaani,ml_in,100,0.1900,0.0532,0.2928,,903.00,script_mismatches=0/100
indicconformer,ta_in,100,0.3194,0.1655,0.1781,736.5570060001119,188.44,
sravaani,ta_in,100,0.3303,0.1722,0.2952,,903.00,script_mismatches=0/100
indicconformer,te_in,100,0.2181,0.0632,0.1699,860.3251260001343,188.44,
sravaani,te_in,100,0.2110,0.0610,0.2963,,903.00,script_mismatches=0/100
sravaani,or_in,100,0.2169,0.0608,0.2947,,903.00,script_mismatches=0/100
indicconformer,bn_in,100,0.1457,0.0397,0.1746,1110.0154300002032,188.44,
sravaani,bn_in,100,0.1532,0.0462,0.2888,,903.00,script_mismatches=0/100
indicconformer,en_us,100,0.1273,0.0716,0.0682,2406.767761000083,188.44,
sravaani,en_us,100,0.2216,0.1038,0.3002,,903.00,script_mismatches=0/100
