id,lang,audio_ms,chars,stt_ms,wait_ms,feature_ms,infer_ms,rtf,tts_ms,tts_synth_ms,tts_audio_ms
1,hi,0,0,0.0,0.0,0.0,0.0,0.0000,1069.2,878.9,2335
2,hi,1400,33,363.2,2.2,68.7,292.3,0.2579,0.0,0.0,0
1,hi,0,0,0.0,0.0,0.0,0.0,0.0000,689.4,507.6,1566
2,hi,2700,49,947.6,1.5,168.2,777.9,0.3504,0.0,0.0,0
3,hi,0,0,0.0,0.0,0.0,0.0,0.0000,325.7,179.0,460
4,hi,0,0,0.0,0.0,0.0,0.0,0.0000,420.6,281.1,1021
5,hi,0,0,0.0,0.0,0.0,0.0,0.0000,546.8,385.7,1335
6,hi,0,0,0.0,0.0,0.0,0.0,0.0000,364.2,223.6,599
7,hi,0,0,0.0,0.0,0.0,0.0,0.0000,237.7,102.5,290
8,hi,900,3,320.7,3.8,17.0,299.9,0.3521,0.0,0.0,0
9,hi,3100,20,833.3,3.5,43.1,786.7,0.2677,0.0,0.0,0
10,hi,900,1,322.8,2.0,21.6,299.1,0.3564,0.0,0.0,0
11,hi,2000,17,573.4,1.0,30.9,541.5,0.2862,0.0,0.0,0
12,hi,2000,14,565.2,0.9,27.7,536.6,0.2821,0.0,0.0,0
13,kn,1500,9,461.1,0.9,22.1,438.2,0.3068,0.0,0.0,0
14,kn,1700,7,494.8,1.2,26.4,467.2,0.2904,0.0,0.0,0
15,kn,700,7,302.6,2.5,21.3,278.8,0.4287,0.0,0.0,0
16,ta,1500,9,1178.3,701.2,20.9,456.2,0.3181,0.0,0.0,0
17,ta,1500,7,463.5,0.8,20.3,442.4,0.3085,0.0,0.0,0
