id,lang,audio_ms,chars,stt_ms,wait_ms,feature_ms,infer_ms,rtf,tts_ms,tts_synth_ms,tts_audio_ms
1,hi,0,0,0.0,0.0,0.0,0.0,0.0000,491.8,320.6,336
2,hi,0,0,0.0,0.0,0.0,0.0,0.0000,365.2,324.0,913
3,hi,0,0,0.0,0.0,0.0,0.0,0.0000,251.6,212.2,916
4,mr,0,0,0.0,0.0,0.0,0.0,0.0000,0.0,3.9,0
5,mr,0,0,0.0,0.0,0.0,0.0,0.0000,0.0,1.3,0
6,mr,0,0,0.0,0.0,0.0,0.0,0.0000,0.0,2.3,0
7,mr,0,0,0.0,0.0,0.0,0.0,0.0000,0.0,1.1,0
8,mr,1700,19,3602.5,1.2,149.1,3452.1,2.1184,0.0,0.0,0
9,mr,600,4,2011.1,1338.5,11.7,660.9,1.1210,0.0,0.0,0
10,hi,0,0,0.0,0.0,0.0,0.0,0.0000,338.0,268.8,477
11,hi,0,0,0.0,0.0,0.0,0.0,0.0000,415.6,377.3,1754
12,hi,0,0,0.0,0.0,0.0,0.0,0.0000,283.4,248.5,1147
13,hi,0,0,0.0,0.0,0.0,0.0,0.0000,280.9,245.4,1153
14,hi,0,0,0.0,0.0,0.0,0.0,0.0000,372.6,326.1,1365
15,hi,0,0,0.0,0.0,0.0,0.0,0.0000,330.3,290.1,1509
16,hi,0,0,0.0,0.0,0.0,0.0,0.0000,357.0,316.4,1390
17,hi,0,0,0.0,0.0,0.0,0.0,0.0000,216.3,170.8,859
18,hi,0,0,0.0,0.0,0.0,0.0,0.0000,270.0,234.4,1253
19,hi,0,0,0.0,0.0,0.0,0.0,0.0000,263.8,226.0,1184
20,hi,0,0,0.0,0.0,0.0,0.0,0.0000,269.9,234.6,1265
21,hi,0,0,0.0,0.0,0.0,0.0,0.0000,270.2,230.8,1253
22,hi,0,0,0.0,0.0,0.0,0.0,0.0000,195.9,144.0,731
23,hi,0,0,0.0,0.0,0.0,0.0,0.0000,346.3,296.7,952
24,hi,0,0,0.0,0.0,0.0,0.0,0.0000,199.5,159.1,719
25,hi,0,0,0.0,0.0,0.0,0.0,0.0000,284.3,234.6,661
26,hi,0,0,0.0,0.0,0.0,0.0,0.0000,266.6,221.5,801
27,hi,0,0,0.0,0.0,0.0,0.0,0.0000,264.7,221.7,917
28,ta,0,0,0.0,0.0,0.0,0.0,0.0000,0.0,1.0,0
29,ta,0,0,0.0,0.0,0.0,0.0,0.0000,0.0,1.7,0
30,ta,0,0,0.0,0.0,0.0,0.0,0.0000,0.0,1.1,0
