id,lang,audio_ms,chars,stt_ms,wait_ms,feature_ms,infer_ms,rtf,tts_ms,tts_synth_ms,tts_audio_ms,sequence,sender_id,speech_end_epoch_ms,first_audio_epoch_ms,peer_offset_ms,peer_rtt_ms
1,hi,4300,0,10.7,7.2,0.0,0.0,0.0008,0.0,0.0,0,0,,1790364892945,0,0,0
2,hi,1500,0,4.7,2.8,0.0,0.0,0.0013,0.0,0.0,0,0,,1790364894759,0,0,0
3,hi,1500,0,11.0,8.3,0.0,0.0,0.0018,0.0,0.0,0,0,,1790364897841,0,0,0
4,hi,1400,0,5.5,3.0,0.0,0.0,0.0018,0.0,0.0,0,0,,1790364899239,0,0,0
5,hi,4100,0,5.4,3.8,0.0,0.0,0.0004,0.0,0.0,0,0,,1790364904139,0,0,0
6,hi,1500,0,6.3,4.5,0.0,0.0,0.0012,0.0,0.0,0,0,,1790364909866,0,0,0
7,hi,1400,0,5.7,2.6,0.0,0.0,0.0023,0.0,0.0,0,0,,1790364913263,0,0,0
8,hi,1400,0,5.8,4.2,0.0,0.0,0.0012,0.0,0.0,0,0,,1790364916271,0,0,0
9,hi,500,0,7.1,5.8,0.0,0.0,0.0026,0.0,0.0,0,0,,1790364931781,0,0,0
10,hi,0,0,0.0,0.0,0.0,0.0,0.0000,532.2,388.3,1160,1,a619ed2a-f67e-492f-b7af-368f0ee6f172,0,1790365066765,0,0
11,hi,1200,14,7754.9,7101.7,164.8,488.4,0.5443,0.0,0.0,0,1,d3ca7326-73ed-47b8-9384-1c2da40cd8d0,1790365073687,0,0,0
12,hi,0,0,0.0,0.0,0.0,0.0,0.0000,413.8,293.6,881,2,a619ed2a-f67e-492f-b7af-368f0ee6f172,0,1790365088936,0,0
13,hi,600,6,444.4,2.0,23.3,419.1,0.7373,0.0,0.0,0,2,d3ca7326-73ed-47b8-9384-1c2da40cd8d0,1790365093066,0,0,0
14,hi,0,0,0.0,0.0,0.0,0.0,0.0000,399.3,309.2,920,3,a619ed2a-f67e-492f-b7af-368f0ee6f172,0,1790365099060,0,0
15,hi,1500,22,725.4,2.1,60.8,662.6,0.4822,0.0,0.0,0,3,d3ca7326-73ed-47b8-9384-1c2da40cd8d0,1790365105237,0,0,0
16,hi,0,0,0.0,0.0,0.0,0.0,0.0000,584.0,469.1,1637,4,a619ed2a-f67e-492f-b7af-368f0ee6f172,0,1790365112869,0,0
17,hi,0,0,0.0,0.0,0.0,0.0,0.0000,502.7,396.7,1486,5,a619ed2a-f67e-492f-b7af-368f0ee6f172,0,1790365124174,0,0
18,hi,0,0,0.0,0.0,0.0,0.0,0.0000,510.0,412.0,1462,6,a619ed2a-f67e-492f-b7af-368f0ee6f172,0,1790365136568,0,0
19,hi,0,0,0.0,0.0,0.0,0.0,0.0000,497.5,385.5,1393,7,a619ed2a-f67e-492f-b7af-368f0ee6f172,0,1790365193966,0,0
20,hi,0,0,0.0,0.0,0.0,0.0,0.0000,433.8,322.7,1184,8,a619ed2a-f67e-492f-b7af-368f0ee6f172,0,1790365246365,0,0
21,hi,0,0,0.0,0.0,0.0,0.0,0.0000,1915.1,1782.2,2072,9,a619ed2a-f67e-492f-b7af-368f0ee6f172,0,1790365257251,0,0
22,hi,0,0,0.0,0.0,0.0,0.0,0.0000,425.7,296.3,1044,10,a619ed2a-f67e-492f-b7af-368f0ee6f172,0,1790365282988,0,0
23,hi,0,0,0.0,0.0,0.0,0.0,0.0000,366.7,270.5,975,11,a619ed2a-f67e-492f-b7af-368f0ee6f172,0,1790365301246,0,0
24,hi,0,0,0.0,0.0,0.0,0.0,0.0000,3184.4,3066.6,10645,12,a619ed2a-f67e-492f-b7af-368f0ee6f172,0,1790365330781,0,0
25,hi,0,0,0.0,0.0,0.0,0.0,0.0000,528.0,432.9,1578,13,a619ed2a-f67e-492f-b7af-368f0ee6f172,0,1790365392980,0,0
26,hi,0,0,0.0,0.0,0.0,0.0,0.0000,397.4,288.9,1044,14,a619ed2a-f67e-492f-b7af-368f0ee6f172,0,1790365415621,0,0
