id,lang,audio_ms,chars,stt_ms,wait_ms,feature_ms,infer_ms,rtf,tts_ms,tts_synth_ms,tts_audio_ms,sequence,sender_id,speech_end_epoch_ms,first_audio_epoch_ms,peer_offset_ms,peer_rtt_ms
1,hi,5200,0,10.8,4.2,0.0,0.0,0.0013,0.0,0.0,0,0,,1790364894087,0,0,0
2,hi,1500,0,4.1,3.2,0.0,0.0,0.0006,0.0,0.0,0,0,,1790364895987,0,0,0
3,hi,1400,0,8.4,6.9,0.0,0.0,0.0011,0.0,0.0,0,0,,1790364898889,0,0,0
4,hi,1500,0,5.6,3.6,0.0,0.0,0.0013,0.0,0.0,0,0,,1790364900588,0,0,0
5,hi,4100,0,6.2,4.5,0.0,0.0,0.0004,0.0,0.0,0,0,,1790364905389,0,0,0
6,hi,1200,0,7.6,6.4,0.0,0.0,0.0010,0.0,0.0,0,0,,1790364911105,0,0,0
7,hi,600,0,4.0,3.3,0.0,0.0,0.0013,0.0,0.0,0,0,,1790364916872,0,0,0
8,hi,1100,0,12.6,9.7,0.0,0.0,0.0026,0.0,0.0,0,0,,1790364922054,0,0,0
9,hi,1700,0,6.5,5.3,0.0,0.0,0.0007,0.0,0.0,0,0,,1790364943738,0,0,0
10,hi,200,0,5.8,3.8,0.0,0.0,0.0103,0.0,0.0,0,0,,1790364952819,0,0,0
11,hi,1000,14,17225.0,15589.5,107.5,1528.1,1.6355,0.0,0.0,0,1,a619ed2a-f67e-492f-b7af-368f0ee6f172,1790365050118,0,0,0
12,hi,0,0,0.0,0.0,0.0,0.0,0.0000,604.9,472.7,1277,1,d3ca7326-73ed-47b8-9384-1c2da40cd8d0,0,1790365083360,0,0
13,hi,1400,10,886.6,1.2,28.4,857.0,0.6325,0.0,0.0,0,2,a619ed2a-f67e-492f-b7af-368f0ee6f172,1790365088357,0,0,0
14,hi,0,0,0.0,0.0,0.0,0.0,0.0000,171.6,128.3,673,2,d3ca7326-73ed-47b8-9384-1c2da40cd8d0,0,1790365095299,0,0
15,hi,900,10,789.0,2.8,18.0,768.2,0.8735,0.0,0.0,0,3,a619ed2a-f67e-492f-b7af-368f0ee6f172,1790365099022,0,0,0
16,hi,0,0,0.0,0.0,0.0,0.0,0.0000,570.3,520.2,1706,3,d3ca7326-73ed-47b8-9384-1c2da40cd8d0,0,1790365108072,0,0
17,hi,1200,21,1387.5,1.7,22.0,1363.7,1.1548,0.0,0.0,0,4,a619ed2a-f67e-492f-b7af-368f0ee6f172,1790365112011,0,0,0
18,hi,1500,19,1491.2,1.8,16.6,1472.8,0.9929,0.0,0.0,0,5,a619ed2a-f67e-492f-b7af-368f0ee6f172,1790365123048,0,0,0
19,hi,1100,16,3986.0,9.1,10.3,3966.6,3.6153,0.0,0.0,0,6,a619ed2a-f67e-492f-b7af-368f0ee6f172,1790365132733,0,0,0
20,hi,2000,17,1630.8,4.4,50.3,1576.2,0.8132,0.0,0.0,0,7,a619ed2a-f67e-492f-b7af-368f0ee6f172,1790365192952,0,0,0
21,hi,1500,10,1282.8,3.8,21.0,1257.9,0.8526,0.0,0.0,0,8,a619ed2a-f67e-492f-b7af-368f0ee6f172,1790365245641,0,0,0
22,hi,3400,24,3310.9,6.6,35.6,3268.7,0.9719,0.0,0.0,0,9,a619ed2a-f67e-492f-b7af-368f0ee6f172,1790365252914,0,0,0
23,hi,1000,13,1032.1,4.1,10.7,1017.3,1.0280,0.0,0.0,0,10,a619ed2a-f67e-492f-b7af-368f0ee6f172,1790365282466,0,0,0
24,hi,1000,8,943.8,1.3,5.6,936.9,0.9425,0.0,0.0,0,11,a619ed2a-f67e-492f-b7af-368f0ee6f172,1790365300595,0,0,0
25,hi,1500,20,1054.9,9.4,17.0,1028.5,0.6970,0.0,0.0,0,12,a619ed2a-f67e-492f-b7af-368f0ee6f172,1790365327253,0,0,0
26,hi,1500,19,964.0,8.1,14.0,941.9,0.6373,0.0,0.0,0,13,a619ed2a-f67e-492f-b7af-368f0ee6f172,1790365392528,0,0,0
27,hi,1100,10,949.1,1.3,7.2,940.6,0.8616,0.0,0.0,0,14,a619ed2a-f67e-492f-b7af-368f0ee6f172,1790365415003,0,0,0
