id,lang,audio_ms,chars,stt_ms,wait_ms,feature_ms,infer_ms,rtf,tts_ms,tts_synth_ms,tts_audio_ms,sequence,sender_id,speech_end_epoch_ms,first_audio_epoch_ms,peer_offset_ms,peer_rtt_ms
2,hi,0,0,0.0,0.0,0.0,0.0,0.0000,1157.7,979.7,3406,1,benchmark-sender,0,1790431200498,0,0
3,hi,0,0,0.0,0.0,0.0,0.0,0.0000,777.7,692.8,2542,2,benchmark-sender,0,1790431204262,0,0
4,hi,0,0,0.0,0.0,0.0,0.0,0.0000,830.5,759.6,2476,3,benchmark-sender,0,1790431208459,0,0
5,hi,0,0,0.0,0.0,0.0,0.0,0.0000,1198.0,1012.4,3784,4,benchmark-sender,0,1790431212969,0,0
6,hi,0,0,0.0,0.0,0.0,0.0,0.0000,852.4,610.3,2194,5,benchmark-sender,0,1790431216768,0,0
7,hi,0,0,0.0,0.0,0.0,0.0,0.0000,921.4,857.0,2757,6,benchmark-sender,0,1790431220980,0,0
8,hi,0,0,0.0,0.0,0.0,0.0,0.0000,961.7,869.0,2666,7,benchmark-sender,0,1790431225154,0,0
9,hi,0,0,0.0,0.0,0.0,0.0,0.0000,888.6,817.1,3053,8,benchmark-sender,0,1790431229224,0,0
10,hi,0,0,0.0,0.0,0.0,0.0,0.0000,1012.0,945.5,3086,9,benchmark-sender,0,1790431233466,0,0
11,hi,0,0,0.0,0.0,0.0,0.0,0.0000,1402.7,1290.0,3310,10,benchmark-sender,0,1790431237998,0,0
