id,lang,audio_ms,chars,stt_ms,wait_ms,feature_ms,infer_ms,rtf,tts_ms,tts_synth_ms,tts_audio_ms,sequence,sender_id,speech_end_epoch_ms,first_audio_epoch_ms,peer_offset_ms,peer_rtt_ms
4,hi,0,0,0.0,0.0,0.0,0.0,0.0000,1984.8,1888.9,3366,1,benchmark-sender,0,1790430444128,0,0
5,hi,0,0,0.0,0.0,0.0,0.0,0.0000,1480.0,1387.8,2461,2,benchmark-sender,0,1790430447772,0,0
6,hi,0,0,0.0,0.0,0.0,0.0,0.0000,1939.1,1787.7,2589,3,benchmark-sender,0,1790430452363,0,0
7,hi,0,0,0.0,0.0,0.0,0.0,0.0000,1330.8,1249.1,3819,4,benchmark-sender,0,1790430455900,0,0
8,hi,0,0,0.0,0.0,0.0,0.0,0.0000,921.0,797.5,2194,5,benchmark-sender,0,1790430459612,0,0
9,hi,0,0,0.0,0.0,0.0,0.0,0.0000,1862.3,1757.8,2814,6,benchmark-sender,0,1790430464696,0,0
10,hi,0,0,0.0,0.0,0.0,0.0,0.0000,1818.7,1724.7,2574,7,benchmark-sender,0,1790430468796,0,0
11,hi,0,0,0.0,0.0,0.0,0.0,0.0000,1873.1,1790.5,3065,8,benchmark-sender,0,1790430472995,0,0
12,hi,0,0,0.0,0.0,0.0,0.0,0.0000,2139.6,2060.5,3200,9,benchmark-sender,0,1790430477412,0,0
13,hi,0,0,0.0,0.0,0.0,0.0,0.0000,2058.1,1965.1,3287,10,benchmark-sender,0,1790430481478,0,0
